"","SampleID","sampletype","location","filtertype","region","datatype","boat","study","transit","position"
"197","c13t1rear","rear","Baltimore","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","one",13
"198","c13t2bf","bilgebiofilm","Norfolk","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","two",29
"199","c13t2bw","bilgewater","Norfolk","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","two",29
"200","c13t2hull","hull","Norfolk","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","two",29
"201","c13t2post","openwater","Norfolk","post",NA,NA,"Callinectes","ChesapeakeBay","two",29
"202","c13t2pre","openwater","Norfolk","pre",NA,NA,"Callinectes","ChesapeakeBay","two",29
"203","c13t2rear","rear","Norfolk","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","two",29
"204","c13t3bf","bilgebiofilm","Baltimore","nonfilter",NA,NA,"Lookdown","ChesapeakeBay","three",13
"205","c13t3bw","bilgewater","Baltimore","nonfilter",NA,NA,"Lookdown","ChesapeakeBay","three",13
"206","c13t3hull","hull","Baltimore","nonfilter",NA,NA,"Lookdown","ChesapeakeBay","three",13
"207","c13t3post","openwater","Baltimore","post",NA,NA,"Lookdown","ChesapeakeBay","three",13
"208","c13t3pre","openwater","Baltimore","pre",NA,NA,"Lookdown","ChesapeakeBay","three",13
"209","c13t3rear","rear","Baltimore","nonfilter",NA,NA,"Lookdown","ChesapeakeBay","three",13
"210","c13t4bf","bilgebiofilm","Norfolk","nonfilter",NA,NA,"Lookdown","ChesapeakeBay","four",29
"211","c13t4bw","bilgewater","Norfolk","nonfilter",NA,NA,"Lookdown","ChesapeakeBay","four",29
"212","c13t4hull","hull","Norfolk","nonfilter",NA,NA,"Lookdown","ChesapeakeBay","four",29
"213","c13t4post","openwater","Norfolk","post",NA,NA,"Lookdown","ChesapeakeBay","four",29
"214","c13t4pre","openwater","Norfolk","pre",NA,NA,"Lookdown","ChesapeakeBay","four",29
"215","c13t4rear","rear","Norfolk","nonfilter",NA,NA,"Lookdown","ChesapeakeBay","four",29
"216","c14t1bf","bilgebiofilm","Baltimore","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","one",14
"217","c14t1bw","bilgewater","Baltimore","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","one",14
"218","c14t1hull","hull","Baltimore","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","one",14
